人,ren2
亾,wang2
亿,yi4
什,shen2,shi2
仁,ren2
仂,le4
仃,ding1
仄,ze4
仅,jin3,jin4
仆,pu1,pu2
仇,chou2,qiu2
仉,zhang3
今,jin1
介,jie4
仍,reng2
从,cong1,cong2
仑,lun2
仓,cang1
仔,zai3,zi1,zi3
仕,shi4
他,ta1
仗,zhang4
付,fu4
仙,xian1
仛,tuo1
仝,tong2
仞,ren4
仟,qian1
仡,ge1,yi4
代,dai4
令,ling2,ling3,ling4
以,yi3
仨,sa1
仪,yi2
仫,mu4
们,men5
仰,yang3
仲,zhong4
仳,pi3
仵,wu3
件,jian4
价,jia4,jie4,jie5
任,ren2,ren4
份,fen4
仿,fang3
伀,zhong1
企,qi3
伃,yu2
伈,xin3
伉,kang4
伊,yi1
伋,ji2
伍,wu3
伎,ji4
伏,fu2
伐,fa2
休,xiu1
伕,fu1
众,zhong4
优,you1
伙,huo3
会,hui4,kuai4
伛,yu3
伞,san3
伟,wei3
传,chuan2,zhuan4
伡,che1
伢,ya2
伤,shang1
伥,chang1
伦,lun2
伧,cang1,chen5
伪,wei3
伫,zhu4
伯,bai3,bo2
估,gu1,gu4
伲,ni4
伴,ban4
伶,ling2
伷,zhou4
伸,shen1
伺,ci4,si4
似,shi4,si4
伽,ga1,jia1,qie2
伾,pi1
佀,si4
佃,dian4,tian2
但,dan4
佇,zhu4
佈,bu4
佉,qu1
佊,bi3
位,wei4
低,di1
住,zhu4
佐,zuo3
佑,you4
体,ti1,ti3
佔,zhan4
何,he2
佗,tuo2
佘,she2
余,yu2
佚,yi4
佛,fo2,fu2
作,zuo1,zuo2,zuo4
佝,gou1
佞,ning4
佟,tong2
你,ni3
佢,qu2
佣,yong1,yong4
佤,wa3
佥,qian1
佧,ka3
佩,pei4
佫,he4
佬,lao3
佯,yang2
佰,bai3
佳,jia1
佴,er4,nai4
佶,ji2
佹,gui3
佺,quan2
佻,tiao1
佼,jiao3
佽,ci4
佾,yi4
使,shi3
侁,shen1
侂,tuo1
侃,kan3
侄,zhi2
來,lai2
侈,chi3
侉,kua3
例,li4
侍,shi4
侏,zhu1
侑,you4
侔,mou2
侖,lun2
侗,dong4,tong2,tong3
侘,cha4
供,gong1,gong4
侜,zhou1
依,yi1
侠,xia2
侣,lü3
侥,jiao3,yao2
侦,zhen1
侧,ce4,ze4,zhai1
侨,qiao2
侩,kuai4
侪,chai2
侬,nong2
侮,wu3
侯,hou2,hou4
侴,chou3
侵,qin1
侷,ju2
侹,ting3
侻,tui4,tuo1
便,bian4,pian2
係,xi4
促,cu4
俄,e2
俅,qiu2
俊,jun4
俍,liang2
俎,zu3
俏,qiao4
俐,li4
俑,yong3
俗,su2
俘,fu2
俚,li3
俛,fu3,mian3
俜,ping1
保,bao3
俞,shu4,yu2
俟,qi2,si4
俠,xia2
信,xin4
俣,yu3
俤,di4
俦,chou2
俨,yan3
俩,lia3,liang3
俪,li4
俭,jian3
修,xiu1
俯,fu3
俱,ju1,ju4
俳,pai2
俵,biao4
俶,chu4,ti4
俸,feng4
俺,an3
俻,bei4
俾,bi3
倀,chang1
倂,bing4
倅,cui4
倆,lia3,liang3
倈,lai2
倉,cang1
個,ge3,ge4
倌,guan1
倍,bei4
倏,shu1
倐,shu1
倒,dao3,dao4
倓,tan2
倔,jue2,jue4
倖,xing4
倘,chang2,tang3
候,hou4
倚,yi3
倜,ti4
倞,jing4,liang4
借,jie4
倡,chang4
倢,jie2
倣,fang3
倥,kong1,kong3
倦,juan4
倨,ju4
倩,qian4
倪,ni2
倫,lun2
倬,zhuo1
倭,wo1
倮,luo3
倳,zi4
倴,ben4
倷,nai3
倸,cai3
债,zhai4
倻,ye1
值,zhi2
倾,qing1
偁,cheng1
偃,yan3
假,jia3,jia4
偈,ji4,jie2
偉,wei3
偊,yu3
偌,ruo4
偎,wei1
偏,pian1
偓,wo4
偕,xie2
做,zuo4
停,ting2
偢,chou3,qiao4
健,jian4
偪,bi1
偬,zong3
偰,xie4
偲,cai1,si1
偶,ou3
偷,tou1
偺,za2,zan2,zan5
偻,lou2,lü3
偽,wei3
偾,fen4
偿,chang2
傀,gui1,kui3
傅,fu4
傈,li4
傉,nu4
傍,bang4
傎,dian1
傑,jie2
傒,xi1
傕,jue2
傖,cang1,chen5
傘,san3
備,bei4
傚,xiao4
傜,yao2
傢,jia1
傣,dai3
傤,zai4
傥,tang3
傧,bin1
储,chu3
傩,nuo2
催,cui1
傭,yong1
傯,zong3
傲,ao4
傳,chuan2,zhuan4
傴,yu3
傷,shang1
傺,chi4
傻,sha3
僂,lou2,lü3
僄,piao4
僅,jin3,jin4
僇,lu4
僉,qian1
僊,xian1
働,dong4
像,xiang4
僑,qiao2
僕,pu2
僖,xi1
僚,liao2
僝,chan2
僞,wei3
僡,hui4
僢,chuan3
僥,jiao3,yao2
僦,jiu4
僧,seng1
僬,jiao1
僭,jian4
僮,tong2,zhuang4
僰,bo2
僱,gu4
僳,su4
僵,jiang1
僶,min3
價,jia4,jie5
僻,pi4
僽,zhou4
儀,yi2
儁,jun4
儂,nong2
億,yi4
儅,dang4
儆,jing3
儇,xuan1
儈,kuai4
儉,jian3
儋,dan1
儍,sha3
儐,bin1
儒,ru2
儓,tai2
儔,chou2
儕,chai2
儗,ni3
儘,jin3
償,chang2
儡,lei3
優,you1
儭,chen4
儱,long3
儴,rang2
儵,shu1
儷,li4
儸,luo2
儹,zan3
儺,nuo2
儻,tang3
儼,yan3
儽,lei2
儿,er2
兀,wu1,wu4
允,yun3
元,yuan2
兄,xiong1
充,chong1
兆,zhao4
兇,xiong1
先,xian1
光,guang1
克,ke4
免,mian3
兎,tu4
兑,dui4
兒,er2,ni2
兔,tu4
兕,si4
兖,yan3
党,dang3
兜,dou1
兢,jing1
入,ru4
全,quan2
兩,liang3
八,ba1,ba2
公,gong1
六,liu4,lu4
兮,xi1
兰,lan2
共,gong4
关,guan1
兴,xing1,xing4
兵,bing1
其,ji1,qi2
具,ju4
典,dian3
兹,ci2,zi1
养,yang3
兼,jian1
兽,shou4
冀,ji4
冁,chan3
冄,ran3
内,nei4
冇,mao3
冈,gang1
冉,ran3
冊,ce4
册,ce4
再,zai4
冏,jiong3
冒,mao4,mo4
冓,gou4
冕,mian3
冗,rong3
写,xie3,xie4
军,jun1
农,nong2
冠,guan1,guan4
冢,zhong3
冤,yuan1
冥,ming2
冪,mi4
冬,dong1
冮,gang1
冯,feng2,ping2
冰,bing1
冱,hu4
冲,chong1,chong4
决,jue2
况,kuang4
冶,ye3
冷,leng3
冻,dong4
冼,xian3
冽,lie4
净,jing4
凃,tu2
凄,qi1
准,zhun3
凇,song1
凉,liang2,liang4
凊,qing4
凋,diao1
凌,ling2
凍,dong4
减,jian3
凑,cou4
凓,li4
凔,chuang4
凘,si1
凙,duo2
凛,lin3
凜,lin3
凝,ning2
凟,du2
几,ji1,ji3
凡,fan2
凢,fan2
凤,feng4
処,chu3,chu4
凫,fu2
凭,ping2
凯,kai3
凰,huang2
凱,kai3
凳,deng4
凴,ping2
凶,xiong1
凷,kuai4
凸,tu1
凹,ao1,wa1
出,chu1
击,ji1
凼,dang4
函,han2
凿,zao2,zuo4
刀,dao1
刁,diao1
刃,ren4
刄,ren4
分,fen1,fen4
切,qie1,qie4
刈,yi4
刊,kan1
刌,cun3
刍,chu2
刎,wen3
刑,xing2
划,hua2,hua4,huai5
刓,wan2
刖,yue4
列,lie4
刘,liu2
则,ze2
刚,gang1
创,chuang1,chuang4
刜,fu2
初,chu1
删,shan1
判,pan4
刦,jie2
刧,jie2
刨,bao4,pao2
利,li4
刪,shan1
别,bie2,bie4
刬,chan3,chan4
刭,jing3
刮,gua1
到,dao4
刲,kui1
刳,ku1
刴,duo4
刵,er4
制,zhi4
刷,shua1,shua4
券,quan4,xuan4
刹,cha4,sha1
刺,ci1,ci4
刻,ke4
刼,jie2
刽,gui4
刿,gui4
剀,kai3
剁,duo4
剂,ji4
剃,ti4
剄,jing3
剅,lou2
剉,cuo4
削,xiao1,xue1
剋,ke4,kei1
剌,la2,la4
前,qian2
剏,chuang4
剐,gua3
剑,jian4
剒,cuo4
剔,ti1
剕,fei4
剖,pou1
剗,chan3,chan4
剙,chuang4
剚,zi4
剛,gang1
剜,wan1
剞,ji1
剟,duo1
剠,qing2
剡,shan4,yan3
剥,bao1,bo1
剧,ju4
剨,huo1
剩,sheng4
剪,jian3
剮,gua3
副,fu4
割,ge1
剴,kai3
創,chuang1,chuang4
剷,chan3
剺,li2
剽,piao1
剿,chao1,jiao3
劀,gua1
劁,qiao1
劂,jue2
劃,hua2,hua4,huai5
劄,zha1,zha2
劇,ju4
劈,pi1,pi3
劉,liu2
劊,gui4
劌,gui4
劍,jian4
劐,huo1
劑,ji4
劓,yi4
劔,jian4
劗,jian3
劘,mo2
劙,li2
劚,zhu3
力,li4
劝,quan4
办,ban4
功,gong1
加,jia1
务,wu4
劢,mai4
劣,lie4
劤,jin4
动,dong4
助,zhu4
努,nu3
劫,jie2
劬,qu2
劭,shao4
励,li4
劲,jin4,jing4
劳,lao2
効,xiao4
劻,kuang1
劾,he2
势,shi4
勁,jin4,jing4
勃,bo2
勅,chi4
勇,yong3
勉,mian3
勋,xun1
勍,qing2
勐,meng3
勑,chi4
勒,le4,lei1
勔,mian3
動,dong4
勖,xu4
勗,xu4
勘,kan1
務,wu4
勚,yi4
勝,sheng4
勞,lao2
募,mu4
勠,lu4
勢,shi4
勣,ji1
勤,qin2
勥,jiang4
勦,chao1,jiao3
勰,xie2
勱,mai4
勳,xun1
勵,li4
勷,rang2
勸,quan4
勺,shao2
勼,jiu1
勾,gou1,gou4
勿,wu4
匀,yun2
匄,gai4
包,bao1
匆,cong1
匈,xiong1
匉,peng1
匊,ju1
匋,tao2
匍,pu2
匏,pao2
匐,fu2
匕,bi3
化,hua1,hua4
北,bei3
匙,chi2,shi5
匜,yi2
匝,za1
匠,jiang4
匡,kuang1
匣,xia2
匦,gui3
匪,fei3
匮,kui4
匯,hui4
匲,lian2
匳,lian2
匵,du2
匹,pi3
区,ou1,qu1
医,yi1
匼,ke1
匾,bian3
匿,ni4
區,ou1,qu1
十,shi2
千,qian1
卅,sa4
升,sheng1
午,wu3
卉,hui4
半,ban4
卋,shi4
卌,xi4
华,hua2,hua4
协,xie2
卑,bei1
卒,cu4,zu2
卓,zhuo1
協,xie2
单,chan2,dan1,shan4
卖,mai4
南,na1,nan2
博,bo2
卜,bo5,bu3
卝,kuang4
卞,bian4
卟,bu3
占,zhan1,zhan4
卡,ka3,qia3
卢,lu2
卣,you3
卤,lu3
卦,gua4
卧,wo4
卨,xie4
卫,wei4
卬,ang2
卮,zhi1
卯,mao3
印,yin4
危,wei1
卲,shao4
即,ji2
却,que4
卵,luan3
卷,juan3,juan4
卸,xie4
卹,xu4
卺,jin3
卻,que4
卼,wu4
卿,qing1
厂,an1,chang3
厄,e4
厅,ting1
历,li4
厉,li4
压,ya1,ya4
厌,yan4
厍,she4
厓,ya2
厔,zhi4
厕,ce4,si5
厖,pang2
厘,li2
厚,hou4
厛,ting1
厝,cuo4
原,yuan2
厢,xiang1
厣,yan3
厤,li4
厥,jue2
厦,sha4,xia4
厨,chu2
厩,jiu4
厪,jin3
厫,ao2
厭,yan4
厮,si1
厰,chang3
厲,li4
厴,yan3
厶,si1
去,qu4
厾,du1
县,xian4
叁,san1
参,can1,cen1,shen1
參,can1,cen1,shen1
叆,ai4
叇,dai4
又,you4
叉,cha1,cha2,cha3,cha4
及,ji2
友,you3
双,shuang1
反,fan3
収,shou1
发,fa1,fa4
叔,shu1
取,qu3
受,shou4
变,bian4
叙,xu4
叛,pan4
叜,sou3
叟,sou3
叠,die2
叡,rui4
叢,cong2
口,kou3
古,gu3
句,gou1,gou4,ju4
另,ling4
叨,dao1,dao2,tao1
叩,kou4
只,zhi1,zhi3
叫,jiao4
召,shao4,zhao4
叭,ba1
叮,ding1
可,ke3,ke4
台,tai1,tai2
叱,chi4
史,shi3
右,you4
叵,po3
叶,xie2,ye4
号,hao2,hao4
司,si1
叹,tan4
叻,le4
叼,diao1
叽,ji1
吁,xu1,yu1,yu4
吃,chi1
各,ge3,ge4
吆,yao1
合,ge3,he2
吉,ji2
吊,diao4
吋,cun4,ying1
同,tong2,tong4
名,ming2
后,hou4
吏,li4
吐,tu3,tu4
向,xiang4
吒,zha1,zha4
吓,he4,xia4
吕,lü3
吗,ma2,ma3,ma5
吚,yi1
君,jun1
吝,lin4
吞,tun1
吟,yin2
吠,fei4
吡,bi3,pi3
吢,qin4
吣,qin4
吥,bu4
否,fou3,pi3
吧,ba1,ba5
吨,dun1
吩,fen1
吪,e2
含,han2
听,ting1
吭,hang2,keng1
吮,shun3
启,qi3
吰,hong2
吱,zhi1,zi1
吲,yin3
吳,wu2
吴,wu2
吵,chao1,chao3
吸,xi1
吹,chui1
吻,wen3
吼,hou3
吽,hong1
吾,wu2
呀,ya1,ya5
呃,e4,e5
呆,ai2,dai1
呈,cheng2
告,gao4
呋,fu1
呌,jiao4
呎,chi3,ying1
呐,na4,na5,ne4,ne5
呒,ḿ
呓,yi4
呔,dai1,tai3
呕,ou3,ou4
呖,li4
呗,bai4,bei5
员,yuan2,yun2,yun4
呙,guo1
呛,qiang1,qiang4
呜,wu1
呝,e4
呢,ne5,ni2
呣,ḿ,m̀
呤,ling4
呦,you1
周,zhou1
呪,zhou4
呰,zi3
呱,gu1,gua1,gua3
呲,ci1,zi1
味,wei4
呵,a1,a2,a4,a5,he1,ke1
呶,nao2,nu3
呷,ga1,xia1
呸,pei1
呻,shen1
呼,hu1
命,ming4
咀,ju3,zui3
咂,za1
咄,duo1
咆,pao2
咋,za3,ze2,zha1
和,he2,he4,hu2,huo2,huo4
咍,hai1
咎,jiu4
咏,yong3
咐,fu4
咑,da1
咒,zhou4
咔,ka1,ka3
咕,gu1
咖,ga1,ka1
咙,long2
咚,dong1
咛,ning2
咝,si1
咣,guang1
咤,zha4
咦,yi2
咧,lie1,lie3,lie5
咨,zi1
咩,mie1
咪,mi1
咫,zhi3
咬,yao3
咭,ji1
咮,zhou4
咯,ge1,ka3,lo5,luo4
咱,za2,zan2,zan5
咲,xiao4
咳,hai1,ke2
咴,hui1
咵,kua3
咷,tao2
咸,xian2
咻,xiu1
咼,guo1
咽,yan1,yan4,ye4
咿,yi1
哀,ai1
品,pin3
哂,shen3
哄,hong1,hong3,hong4
哅,xiong1
哆,duo1
哇,wa1,wa5
哈,ha1,ha3,ha4
哉,zai1
哌,pai4
响,xiang3
哎,ai1
哏,gen2
哐,kuang1
哑,ya1,ya3
哓,xiao1
哔,bi4
哕,hui4,yue3
哗,hua1,hua2
哙,kuai4
哚,duo3
哜,ji4
哝,nong2
哞,mou1
哟,yo1,yo5
哢,long4
哥,ge1
哦,e2,o2,o4
哧,chi1
哨,shao4
哩,li1,li3,li5,ying1
哪,na3,na5,nai3,ne2,nei3
哭,ku1
哮,xiao1
哱,bo1
哲,zhe2
哳,zha1
哶,mie1
哺,bu3
哼,heng1,hng
哽,geng3
哿,ge3
唁,yan4
唆,suo1
唇,chun2
唈,yi4
唉,ai1,ai4
唏,xi1
唐,tang2
唑,zuo4
唓,che1
唔,ń,ńg,wu2
唗,dou1
唙,di2
唚,qin4
唝,gong4,hong3
唠,lao2,lao4
唡,liang3,ying1
唢,suo3
唣,zao4
唤,huan4
唧,ji1
唪,feng3
唫,jin4,yin2
唬,hu3,xia4
售,shou4
唯,wei2,wei3
唰,shua1
唱,chang4
唳,li4
唷,yo1
唸,nian4
唼,sha4
唾,tuo4
唿,hu1
啁,zhao1,zhou1
