字	审订后是不是形声字？	北京师范声旁	声旁是不是包含在构形拆分中？	中央大学声旁	声旁是不是包含在构形拆分中？	造字方法	结构类型	构形模式	构形拆分	审订声旁（与北京师范和中央大学不同的情况）
岸	Y	干	Y	－	N	形声	⿱	义音合成	屵,干
佳	Y	－	N	圭	Y	形声	⿰	义音合成	亻,圭
往	Y	王	N	－	N	形声	⿰	义音合成	彳,主	主
所	Y	－	N	戶	Y	形声	⿰	义音合成	戶,斤
肴	Y	爻	Y	－	N	形声	⿱	义音合成	爻,�
乳	N	－	N	孚	Y	原为会意	⿰	半理据或无理据字	孚,乚
股	Y	－	N	殳	Y	形声	⿰	义音合成	月,殳
疙	Y	－	N	乞	Y	形声	⿸	义音合成	疒,乞
炕	Y	亢	Y	－	N	形声	⿰	义音合成	火,亢
郎	N	良	N	－	N	形声	⿰	义音合成	[丶�],阝
居	N	－	N	古	Y	会意	⿸	会义合成	尸,古
降	Y	夅	Y	－	N	形声	⿰	义音合成	阝,夅
珍	Y	㐱	Y	－	N	形声	⿰	义音合成	王,㐱
挖	Y	－	N	穵	Y	形声	⿰	义音合成	扌,穵
荐	Y	－	N	存	Y	形声	⿱	义音合成	艹,存
茫	Y	亡	Y	－	N	形声	⿱	义音合成	艹,氵,亡
柳	Y	卯	Y	－	N	形声	⿰	义音合成	木,卯
勃	Y	孛	Y	－	N	形声	⿰	义音合成	孛,力
研	Y	开	Y	－	N	形声	⿰	义音合成	石,开
砂	Y	少	Y	－	N	形声	⿰	义音合成	石,少
砍	Y	－	N	欠	Y	形声	⿰	义音合成	石,欠
眨	Y	－	N	乏	Y	形声	⿰	义音合成	目,乏
幽	Y	幺	Y	－	N	形声	※	义音合成	山,幺,幺
追	Y	𠂤	Y	－	N	形声	⿺	义音合成	辶,𠂤
俊	Y	夋	Y	－	N	形声	⿰	义音合成	亻,夋
胚	Y	不	N	丕	Y	形声	⿰	义音合成	月,丕
怨	Y	夗	Y	－	N	形声	⿱	义音合成	夗,心
哀	Y	衣	Y	－	N	形声	⿳	义音合成	衣,口
疫	Y	－	N	殳	Y	形声	⿸	义音合成	疒,殳
施	Y	也	Y	－	N	形声	⿸	义音合成	�,也
姜	N	羊	N	－	N	形声	⿱	义音合成	�,女
洼	Y	－	N	圭	Y	形声	⿰	义音合成	氵,圭
洒	Y	－	N	西	Y	形声	⿰	义音合成	氵,西
派	Y	𠂢	Y	－	N	形声	⿰	义音合成	氵,𠂢
津	Y	聿	Y	－	N	形声	⿰	义音合成	氵,聿
恒	N	亘	Y	－	N	会意	⿰	会义合成	忄,亘
宣	Y	亘	Y	－	N	形声	⿱	义音合成	宀,亘
室	Y	至	Y	－	N	形声	⿱	义音合成	宀,至
冠	N	元	Y	－	N	会意	◎	会义合成	冖,元,寸
退	N	艮	Y	－	N	原为会意	⿺	半理据或无理据字	辶,艮
既	N	旡	Y	－	N	会意	⿰	会义合成	�,旡
屎	Y	尸	Y	－	N	形声	⿸	义音合成	尸,米
柔	Y	矛	Y	－	N	形声	⿱	义音合成	矛,木
蚕	Y	－	N	天	Y	形声	⿱	义音合成	天,虫
起	Y	己	N	－	N	形声	⿺	义音合成	走,已	已
恐	Y	巩	Y	－	N	形声	⿱	义音合成	巩,心
耽	Y	冘	Y	－	N	形声	⿰	义音合成	耳,冘
莽	N	茻	N	－	N	形声	⿳	义音合成	艹,犬,廾
哥	N	－	N	可	Y	会意	⿱	会义合成	可,可
酌	Y	勺	Y	－	N	形声	⿰	义音合成	酉,勺
配	Y	己	Y	－	N	形声	⿰	义音合成	酉,己
晒	Y	－	N	西	N	形声	⿰	义音合成	日,西	西
蚌	Y	丰	Y	－	N	形声	⿰	义音合成	虫,丰
峰	Y	夆	Y	－	N	形声	⿰	义音合成	山,夆
秤	Y	－	N	平	Y	形声	⿰	义音合成	禾,平
候	N	侯	N	－	N	形声	⿰	义音合成	亻,[丨ユ矢]
倍	Y	咅	Y	－	N	形声	⿰	义音合成	亻,咅
徒	Y	土	Y	－	N	形声	⿺	义音合成	辵,土
航	Y	亢	Y	－	N	形声	⿰	义音合成	舟,亢
爹	Y	－	N	多	Y	形声	⿱	义音合成	父,多
胸	Y	凶	N	匈	Y	形声	⿰	义音合成	月,匈
留	N	卯	N	－	N	形声	⿱	义音合成	�,田
郭	Y	－	N	享	Y	形声	⿰	义音合成	享,阝
准	Y	隹	Y	－	N	形声	⿰	义音合成	冫,隹
疾	N	矢	Y	－	N	会意	⿸	会义合成	疒,矢
唐	Y	庚	Y	－	N	形声	⿸	义音合成	庚,口
剖	Y	咅	Y	－	N	形声	⿰	义音合成	咅,刂
部	Y	咅	Y	－	N	形声	⿰	义音合成	咅,阝
涂	Y	－	N	余	Y	形声	⿰	义音合成	氵,余
浸	Y	𠬶	Y	－	N	形声	⿰	义音合成	氵,𠬶
悖	Y	－	N	孛	Y	形声	⿰	义音合成	忄,孛
宴	Y	妟	Y	－	N	形声	⿱	义音合成	宀,妟
朗	N	良	N	－	N	形声	⿰	义音合成	[丶�],月
陷	Y	臽	Y	－	N	形声	⿰	义音合成	阝,臽
陪	Y	咅	Y	－	N	形声	⿰	义音合成	阝,咅
堆	Y	隹	Y	－	N	形声	⿰	义音合成	土,隹
捻	Y	－	N	念	Y	形声	⿰	义音合成	扌,念
掐	Y	臽	Y	－	N	形声	⿰	义音合成	扌,臽
掠	Y	－	N	京	Y	形声	⿰	义音合成	扌,京
培	Y	咅	Y	－	N	形声	⿰	义音合成	土,咅
菩	Y	咅	Y	－	N	形声	⿱	义音合成	艹,咅
萍	Y	苹	N	－	N	形声	⿱	义音合成	艹,泙	泙
梳	Y	㐬	Y	－	N	形声	⿰	义音合成	木,㐬
梭	Y	夋	Y	－	N	形声	⿰	义音合成	木,夋
副	Y	畐	Y	－	N	形声	⿰	义音合成	畐,刂
戚	Y	尗	Y	－	N	形声	⿵	义音合成	戊,尗
野	Y	予	Y	－	N	形声	⿰	义音合成	里,予
曼	N	冒	N	－	N	形声	⿱	义音合成	[曰罒],又
啄	Y	豖	Y	－	N	形声	⿰	义音合成	口,豖
蛇	Y	它	Y	－	N	形声	⿰	义音合成	虫,它
患	Y	吅	N	串	Y	形声	⿱	义音合成	串,心
唯	Y	隹	Y	－	N	形声	⿰	义音合成	口,隹
崖	Y	圭	N	－	N	形声	⿱	义音合成	山,厓	厓
崔	Y	隹	Y	－	N	形声	⿱	义音合成	山,隹
帷	Y	隹	Y	－	N	形声	⿰	义音合成	巾,隹
甜	Y	－	N	甘	Y	形声	⿰	义音合成	舌,甘
笛	Y	－	N	由	Y	形声	⿱	义音合成	𥫗,由
悠	Y	攸	Y	－	N	形声	⿱	义音合成	攸,心
假	Y	叚	Y	－	N	形声	⿰	义音合成	亻,叚
徙	Y	止	Y	－	N	形声	⿰	义音合成	辵,止
豚	Y	豕	Y	－	N	形声	⿰	义音合成	月,豕
毫	Y	－	N	毛	Y	形声	⿵	义音合成	高,毛
粘	Y	－	N	占	Y	形声	⿰	义音合成	米,占
涯	Y	厓	Y	－	N	形声	⿰	义音合成	氵,厓
渠	Y	巨	N	－	N	形声	⿱	义音合成	洰,木	洰
淫	Y	㸒	Y	－	N	形声	⿰	义音合成	氵,㸒
淳	Y	－	N	享	Y	形声	⿰	义音合成	氵,享
寂	Y	尗	N	－	N	形声	⿱	义音合成	宀,叔	叔
密	Y	宓	Y	－	N	形声	⿱	义音合成	宓,山
逮	Y	隶	Y	－	N	形声	⿺	义音合成	辶,隶
隆	N	降	N	－	N	形声	⿰	义音合成	阝,�
琢	Y	豖	Y	－	N	形声	⿰	义音合成	王,豖
塔	Y	荅	Y	－	N	形声	⿰	义音合成	土,荅
越	Y	戉	Y	－	N	形声	⿺	义音合成	走,戉
趁	Y	㐱	Y	－	N	形声	⿺	义音合成	走,㐱
博	N	甫	N	－	N	会意	⿰	会义合成	十,尃
插	Y	－	N	臿	Y	形声	⿰	义音合成	扌,臿
壹	N	吉	N	－	N	象形	□	全功能零合成	壹
葡	Y	甫	N	匍	Y	形声	⿱	义音合成	艹,匍
棱	Y	夌	Y	－	N	形声	⿰	义音合成	木,夌
焚	N	－	N	林	Y	会意	⿱	会义合成	林,火
棵	Y	－	N	果	Y	形声	⿰	义音合成	木,果
椎	Y	隹	Y	－	N	形声	⿰	义音合成	木,隹
棉	Y	帛	Y	－	N	形声	⿰	义音合成	木,帛
雁	Y	厂	Y	－	N	形声	⿸	有音综合合成	厂,亻,隹
雄	Y	厷	Y	－	N	形声	⿰	义音合成	厷,隹
晴	Y	生	N	青	Y	形声	⿰	义音合成	日,青
喘	Y	耑	Y	－	N	形声	⿰	义音合成	口,耑
喻	Y	俞	Y	－	N	形声	⿰	义音合成	口,俞
幅	Y	畐	Y	－	N	形声	⿰	义音合成	巾,畐
等	N	寺	Y	－	N	会意	⿱	会义合成	𥫗,寺
筑	N	竹	N	－	N	形声	⿱	义音合成	𥫗,巩
答	Y	－	N	合	Y	形声	⿱	义音合成	𥫗,合
御	Y	御	Y	－	N	形声	⿰	义音合成	彳,卸
舒	Y	予	Y	－	N	形声	⿰	义音合成	舍,予
逾	Y	俞	Y	－	N	形声	⿺	义音合成	辶,俞
禽	N	今	N	－	N	象形	□	全功能零合成	禽
腊	Y	－	N	昔	Y	形声	⿰	义音合成	月,昔
就	N	－	N	尤	Y	会意	⿰	会义合成	京,尤
敦	Y	－	N	享	Y	形声	⿰	义音合成	享,攵
童	N	重	N	－	N	象形	□	全功能零合成	童
竣	Y	夋	Y	－	N	形声	⿰	义音合成	立,夋
道	N	首	Y	－	N	会意	⿺	会义合成	辶,首
遂	Y	㒸	Y	－	N	形声	⿺	义音合成	辶,㒸
焰	Y	臽	Y	－	N	形声	⿰	义音合成	火,臽
渝	Y	俞	Y	－	N	形声	⿰	义音合成	氵,俞
滋	Y	兹	Y	－	N	形声	⿰	义音合成	氵,兹
惰	Y	左	Y	－	N	形声	⿰	义音合成	忄,左,�
愉	Y	俞	Y	－	N	形声	⿰	义音合成	忄,俞
富	Y	畐	Y	－	N	形声	⿱	义音合成	宀,畐
雇	N	户	N	戶	N	会意	⿸	会义合成	𠂇,又
粥	Y	米	Y	－	N	原为形声	⿲	半理据或无理据字	弓,米,弓
疏	Y	疋	Y	－	N	形声	⿰	义音合成	疋,㚅
隙	Y	𡭴	Y	－	N	形声	⿰	义音合成	阝,𡭴
瑟	Y	必	Y	－	N	形声	⿱	义音合成	玨,必
肆	Y	聿	Y	－	N	形声	⿰	义音合成	镸,聿
聘	Y	甹	Y	－	N	形声	⿰	义音合成	耳,甹
蒜	Y	祘	Y	－	N	形声	⿱	义音合成	艹,祘
勤	Y	堇	Y	－	N	形声	⿰	义音合成	堇,力
靴	Y	－	N	化	Y	形声	⿰	义音合成	革,化
蒙	Y	冡	Y	－	N	形声	⿱	义音合成	艹,冡
楚	Y	疋	Y	－	N	形声	⿱	义音合成	林,疋
碌	Y	录	Y	－	N	形声	⿰	义音合成	石,录
睦	Y	坴	Y	－	N	形声	⿰	义音合成	目,坴
睫	Y	疌	Y	－	N	形声	⿰	义音合成	目,疌
鄙	Y	啚	Y	－	N	形声	⿰	义音合成	啚,阝
愚	Y	禺	Y	－	N	形声	⿱	义音合成	禺,心
暇	Y	叚	Y	－	N	形声	⿰	义音合成	日,叚
蜂	Y	逢	N	－	N	形声	⿰	义音合成	虫,夆	夆
稚	Y	隹	Y	－	N	形声	⿰	义音合成	禾,隹
触	Y	－	N	虫	Y	形声	⿰	义音合成	角,虫
痹	Y	畀	Y	－	N	形声	⿸	义音合成	疒,畀
新	Y	亲	Y	斤	Y	形声	⿰	义音合成	亲,斤	亲
慈	Y	兹	Y	－	N	形声	⿱	义音合成	兹,心
福	Y	畐	Y	－	N	形声	⿰	义音合成	礻,畐
碧	N	白	N	－	N	会意	⿱	会义合成	珀,石
璃	Y	离	Y	－	N	形声	⿰	义音合成	王,离
酸	Y	夋	Y	－	N	形声	⿰	义音合成	酉,夋
碟	Y	枼	Y	－	N	形声	⿰	义音合成	石,枼
磁	Y	兹	Y	－	N	形声	⿰	义音合成	石,兹
需	Y	而	Y	－	N	形声	⿱	义音合成	雨,而
墅	N	野	Y	－	N	会意	⿱	会义合成	野,土
僚	Y	尞	Y	－	N	形声	⿰	义音合成	亻,尞
鼻	Y	畀	Y	－	N	形声	⿱	义音合成	自,畀
貌	Y	皃	Y	－	N	形声	⿰	义音合成	豸,皃
疑	Y	矢	Y	－	N	形声	◎	义音合成	匕,矢,マ,疋
孵	Y	－	N	孚	Y	形声	⿰	义音合成	卵,孚
豪	Y	高	Y	－	N	形声	⿱	义音合成	高,豕
瘟	Y	昷	Y	－	N	形声	⿸	义音合成	疒,昷
端	Y	耑	Y	－	N	形声	⿰	义音合成	立,耑
漾	Y	－	N	羕	Y	形声	⿰	义音合成	氵,羕
察	Y	祭	Y	－	N	形声	⿱	义音合成	宀,祭
蜜	Y	必	N	－	N	形声	⿱	义音合成	宓,虫	宓
寥	Y	－	N	翏	Y	形声	⿱	义音合成	宀,翏
熊	Y	能	Y	－	N	形声	⿱	义音合成	能,灬
撩	Y	尞	Y	－	N	形声	⿰	义音合成	扌,尞
蕊	Y	惢	Y	－	N	形声	⿱	义音合成	艹,惢
敷	Y	甫	N	－	N	形声	⿰	义音合成	旉,攵	旉
蝠	Y	畐	Y	－	N	形声	⿰	义音合成	虫,畐
僵	Y	畺	Y	－	N	形声	⿰	义音合成	亻,畺
膝	Y	－	N	桼	Y	形声	⿰	义音合成	月,桼
履	N	复	N	－	N	会意	⿸	会义合成	尸,復
撼	Y	咸	N	感	Y	形声	⿰	义音合成	扌,感
橘	Y	矞	Y	－	N	形声	⿰	义音合成	木,矞
融	Y	虫	Y	－	N	形声	⿰	义音合成	鬲,虫
嘴	Y	觜	Y	－	N	形声	⿰	义音合成	口,觜
篡	Y	算	Y	－	N	形声	⿱	义音合成	算,厶
邀	Y	敫	Y	－	N	形声	⿺	义音合成	辶,敫
衡	Y	行	Y	－	N	形声	⿲	义音合成	行,角,大
激	Y	敫	Y	－	N	形声	⿰	义音合成	氵,敫
鞠	Y	匊	Y	－	N	形声	⿰	义音合成	革,匊
藐	Y	－	N	貌	Y	形声	⿱	义音合成	艹,貌
檀	Y	亶	Y	－	N	形声	⿰	义音合成	木,亶
蹋	Y	𦐇	Y	－	N	形声	⿰	义音合成	𧾷,𦐇
魏	Y	鬼	Y	－	N	形声	⿰	义音合成	委,鬼
繁	Y	－	N	敏	N	形声	⿱	义音合成	䋣,攵	䋣
徽	Y	微	Y	－	N	形声	⿵	义音合成	糸,微
臊	Y	喿	Y	－	N	形声	⿰	义音合成	月,喿
癌	Y	嵒	N	－	N	形声	⿸	义音合成	疒,喦	喦
燥	Y	喿	Y	－	N	形声	⿰	义音合成	火,喿
臀	Y	殿	Y	－	N	形声	⿱	义音合成	殿,月
覆	Y	复	N	復	Y	形声	⿱	义音合成	覀,復
戳	Y	－	N	翟	Y	形声	⿰	义音合成	翟,戈
馨	Y	声	N	－	N	形声	⿱	义音合成	殸,香	殸
躁	Y	－	N	喿	Y	形声	⿰	义音合成	𧾷,喿
籍	Y	耤	Y	－	N	形声	⿱	义音合成	𥫗,耤
囊	Y	襄	Y	－	N	形声	⿱	义音合成	[�冖],襄
罐	Y	雚	Y	－	N	形声	⿰	义音合成	缶,雚
