灸	久
牢	
牡	土
牠	
狄	
狂	王
玖	久
甬	用
甫	
男	
甸	田
皂	
盯	丁
矣	
私	厶
秀	
禿	
究	九
系	
罕	干
肖	
肓	亡
肝	干
肘	
肛	工
肚	土
育	
良	
芒	亡
芋	于
芍	勺
見	
角	
言	
谷	
豆	
豕	
貝	
赤	
走	
足	
身	
車	
辛	
辰	
迂	于
迆	也
迅	卂
迄	乞
巡	巛
邑	
邢	
邪	牙
邦	丰
那	
酉	
釆	
里	
防	方
阮	元
阱	井
阪	反
阬	亢
並	
乖	
乳	
事	
些	
亞	
享	
京	
佯	羊
依	衣
侍	寺
佳	圭
使	吏
佬	老
供	共
例	列
來	
侃	
佰	百
併	并
侈	多
佩	
佻	兆
侖	
佾	
侏	朱
侑	有
佺	全
兔	
兒	
兕	
兩	
具	
其	
典	
冽	列
函	
刻	亥
券	
刷	
刺	朿
到	
刮	
制	
剁	朵
劾	亥
劻	匡
卒	
協	
卓	
卑	
卦	圭
卷	
卸	
卹	血
取	
叔	尗
受	
味	未
呵	可
咖	加
呸	丕
咕	古
咀	且
呻	申
呷	甲
咄	出
咒	
咆	包
呼	乎
咐	付
呱	瓜
呶	奴
和	禾
咚	冬
呢	尼
周	
咋	乍
命	
咎	
固	古
垃	立
坷	可
坪	平
坩	甘
坡	皮
坦	旦
坤	申
坼	斥
夜	
奉	
奇	
奈	
奄	
奔	
妾	
妻	
委	
妹	未
妮	尼
姑	古
姆	母
姐	且
姍	
始	台
姓	生
姊	𠂔
妯	由
妳	
姒	以
姅	半
孟	皿
孤	瓜
季	
屈	出
居	
屆	
岷	民
岡	
岸	干
岩	
岫	由
岱	代
岳	
帘	
帚	
帖	占
帕	白
帛	白
帑	奴
幸	
庚	
店	占
府	付
底	氐
庖	包
延	
弦	玄
弧	瓜
弩	奴
往	主
征	正
彿	弗
彼	皮
忝	天
忠	中
忽	勿
念	今
忿	分
怏	央
怔	正
怯	去
怵	朮
怖	布
怪	圣
怕	白
怡	台
性	生
怩	尼
怫	弗
怛	旦
或	
戕	
房	方
戾	
所	戶
承	
拉	立
拌	半
拄	主
抿	民
拂	弗
抹	末
拒	巨
招	召
披	皮
拓	石
拔	犮
拋	
拈	占
抨	平
抽	由
押	甲
拐	
拙	出
拇	母
拍	白
抵	氐
拚	弁
抱	包
拘	句
拖	㐌
拗	幼
拆	斥
抬	台
拎	令
放	方
斧	父
於	
旺	王
咸	
咦	夷
咳	亥
哇	圭
哂	西
咽	因
咪	米
品	
哄	共
哈	合
咯	各
咫	
咱	自
咻	休
咩	
咧	列
咿	伊
囿	有
垂	
型	刑
垠	艮
垣	
垢	后
城	成
垮	夸
垓	亥
奕	亦
契	
昔	
易	
昌	
昆	
昂	卬
明	
昀	勻
昏	
昕	斤
昊	
昇	升
服	
朋	
杭	亢
枋	方
枕	冘
東	
果	
杳	
杷	巴
枇	比
枝	支
林	
杯	不
杰	
板	反
枉	王
松	公
析	
杵	午
枚	
枓	斗
杼	予
杪	少
杲	
欣	斤
武	
歧	支
歿	
氓	亡
氛	分
泣	立
注	主
泳	永
沱	它
泌	必
泥	尼
河	可
沽	古
沾	占
沼	召
波	皮
沫	末
法	
泓	弘
沸	弗
泄	世
油	由
況	
沮	且
泗	四
泅	囚
泱	央
沿	
治	台
泡	包
泛	乏
泊	白
沬	未
泯	民
泜	氐
泖	卯
泠	令
炕	亢
炎	
炒	少
炊	
炙	
爬	巴
爭	
爸	巴
版	反
牧	
物	勿
狀	
狎	甲
狙	且
狗	句
狐	瓜
玩	元
玨	
玟	文
玫	
玥	
甽	
疝	山
疙	乞
疚	久
的	
盂	于
盲	亡
直	
知	
矽	夕
社	
祀	巳
祁	
秉	
秈	山
空	工
穹	弓
竺	
糾	
罔	亡
羌	
羋	
者	
肺	巿
肥	
肢	支
肱	
股	殳
肫	屯
肩	
肴	爻
肪	方
肯	
臥	
臾	
舍	
芳	方
芝	之
芙	夫
芭	巴
芽	牙
芟	
芹	斤
花	化
芬	分
芥	介
芯	心
芸	云
芣	不
芰	支
芾	巿
芷	止
虎	虍
虱	
初	
表	
軋	
迎	卬
返	反
近	斤
邵	召
邸	氐
邱	丘
邶	北
采	
金	
長	
門	
阜	
陀	它
阿	可
阻	且
附	付
陂	皮
隹	
雨	
青	
非	
亟	
亭	丁
亮	
信	
侵	
侯	
便	
俠	夾
俑	甬
俏	肖
保	
促	足
侶	呂
俘	孚
俟	矣
俊	夋
俗	谷
侮	每
俐	利
俄	我
係	系
俚	里
俎	且
俞	
侷	局
兗	
冒	
冑	由
冠	
剎	
剃	弟
削	肖
前	
剌	
剋	克
則	
勇	甬
勉	免
勃	孛
勁	
匍	甫
南	
卻	谷
厚	
叛	反
咬	交
哀	衣
咨	次
哎	艾
哉	
奏	
奎	圭
奐	
姜	
姘	并
姿	次
姣	交
姨	夷
娃	圭
姥	老
姪	至
姚	兆
姦	
威	
姻	因
孩	亥
宣	亘
宦	
室	至
客	各
宥	有
封	
屎	尸
屏	并
屍	
屋	
峙	寺
峒	同
巷	
帝	
帥	
